Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System14,Planet2,107.58,107.58,0.28,0.72,77.09,N,No
System14,Planet3,997.49,997.49,0.17,0.42,-10.25,N,No
System15,Planet1,1349.8,1349.8,0.22,0.43,68.9,N,No
System15,Planet2,359.11,359.11,0.14,0.6,86.15,N,No
System15,Planet3,725.0,725.0,0.24,0.62,77.83,N,No
System16,Planet1,515.43,515.43,0.14,0.56,94.85,N,No
System16,Planet2,1214.36,1214.36,0.14,0.76,99.98,Y,No
System16,Planet3,499.63,499.63,0.1,0.47,79.84,N,No
System17,Planet1,485.0,485.0,0.16,0.43,48.51,Y,No
System17,Planet2,690.77,690.77,0.21,0.68,-1.16,N,No
System17,Planet3,778.37,778.37,0.16,0.75,-8.15,N,No
System18,Planet1,596.99,596.99,0.15,0.64,-11.15,N,No
System18,Planet2,1376.73,1376.73,0.1,0.74,76.77,Y,No
System18,Planet3,620.51,620.51,0.23,0.64,99.76,Y,No
System19,Planet1,35.26,35.26,0.15,0.73,-8.44,Y,No
System19,Planet2,1307.64,1307.64,0.13,0.7,37.68,Y,No
System19,Planet3,940.93,940.93,0.21,0.33,81.69,Y,No
System20,Planet1,1309.41,1309.41,0.21,0.49,97.97,N,No
System20,Planet2,1034.92,1034.92,0.26,0.77,-28.97,N,No
System20,Planet3,1015.09,1015.09,0.18,0.8,49.25,N,No
System21,Planet1,107.45,107.45,0.25,0.36,79.4,Y,No
System21,Planet2,1023.77,1023.77,0.21,0.5,-2.66,N,No
System21,Planet3,631.91,631.91,0.25,0.63,88.31,N,No
System22,Planet1,1419.23,1419.23,0.12,0.43,23.9,N,No
System22,Planet2,167.91,167.91,0.15,0.39,76.35,Y,No
System22,Planet3,1152.9,1152.9,0.13,0.74,-5.81,Y,No
System23,Planet1,1468.64,1468.64,0.13,0.48,62.68,N,No
System23,Planet2,960.51,960.51,0.24,0.56,35.13,N,No
System23,Planet3,815.75,815.75,0.23,0.33,32.95,Y,No
System24,Planet1,699.28,699.28,0.26,0.49,22.47,Y,No
System24,Planet2,1233.0,1233.0,0.16,0.7,47.4,N,No
System24,Planet3,1360.59,1360.59,0.14,0.33,92.31,Y,No
System25,Planet1,104.69,104.69,0.22,0.36,61.82,N,No
System25,Planet2,1401.09,1401.09,0.3,0.68,82.98,N,No
System25,Planet3,169.01,169.01,0.25,0.31,29.73,Y,No
System26,Planet1,400.65,400.65,0.12,0.59,93.42,Y,No
System26,Planet2,1403.35,1403.35,0.18,0.72,37.02,Y,No
System26,Planet3,1265.76,1265.76,0.12,0.7,68.48,Y,No
System27,Planet1,663.95,663.95,0.22,0.76,7.73,N,No
System27,Planet2,1426.92,1426.92,0.21,0.37,9.71,Y,No
System27,Planet3,57.98,57.98,0.17,0.75,50.15,Y,No
System28,Planet1,734.11,734.11,0.1,0.5,-9.37,Y,No
System28,Planet2,816.23,816.23,0.14,0.75,-1.04,N,No
System28,Planet3,897.31,897.31,0.1,0.33,-6.87,Y,No
System29,Planet1,511.37,511.37,0.27,0.37,3.98,Y,No
System29,Planet2,1428.22,1428.22,0.22,0.78,-19.28,Y,No
System29,Planet3,1397.75,1397.75,0.22,0.55,71.47,Y,No
System30,Planet1,955.83,955.83,0.14,0.47,60.29,Y,No
System30,Planet2,612.81,612.81,0.26,0.59,72.47,Y,No
System30,Planet3,257.35,257.35,0.3,0.62,22.04,Y,No
System31,Planet1,1275.51,1275.51,0.28,0.33,-12.77,N,No
System31,Planet2,1334.48,1334.48,0.26,0.31,-6.67,N,No
System31,Planet3,938.01,938.01,0.2,0.45,52.89,Y,No
System32,Planet1,1017.75,1017.75,0.22,0.8,86.84,N,No
System32,Planet2,774.21,774.21,0.17,0.73,86.4,Y,No
System32,Planet3,1338.52,1338.52,0.21,0.32,-25.0,Y,No
System33,Planet1,742.62,742.62,0.18,0.38,32.05,N,No
System33,Planet2,1417.28,1417.28,0.23,0.79,27.75,Y,No
System33,Planet3,961.77,961.77,0.14,0.76,79.08,Y,No
System34,Planet1,328.56,328.56,0.28,0.51,-2.32,N,No
System34,Planet2,251.49,251.49,0.25,0.55,31.76,Y,No
System34,Planet3,234.65,234.65,0.21,0.51,81.73,N,No
System35,Planet1,1473.67,1473.67,0.2,0.7,89.79,N,No
System35,Planet2,988.75,988.75,0.14,0.65,13.72,Y,No
System35,Planet3,848.15,848.15,0.19,0.41,72.24,Y,No
System36,Planet1,685.79,685.79,0.3,0.61,37.46,Y,No
System36,Planet2,73.26,73.26,0.29,0.45,91.99,N,No
System36,Planet3,1217.58,1217.58,0.22,0.72,29.8,N,No
System37,Planet1,575.32,575.32,0.22,0.53,-4.88,N,No
System37,Planet2,366.99,366.99,0.23,0.76,33.29,N,No
System37,Planet3,1217.56,1217.56,0.29,0.63,-4.0,N,No
System38,Planet1,178.06,178.06,0.11,0.68,99.25,Y,No
System38,Planet2,1206.77,1206.77,0.15,0.37,34.23,Y,No
System38,Planet3,1444.89,1444.89,0.29,0.39,-16.75,Y,No
System39,Planet1,864.1,864.1,0.17,0.3,46.04,N,No
System39,Planet2,991.09,991.09,0.24,0.56,45.62,Y,No
System39,Planet3,402.43,402.43,0.21,0.7,31.43,N,No
System40,Planet1,473.28,473.28,0.23,0.53,51.37,Y,No
System40,Planet2,123.48,123.48,0.25,0.51,-13.39,N,No
System40,Planet3,791.75,791.75,0.28,0.35,3.55,N,No
System41,Planet1,1213.41,1213.41,0.15,0.55,-12.67,N,No
System41,Planet2,1076.42,1076.42,0.18,0.38,33.52,N,No
System41,Planet3,1273.22,1273.22,0.12,0.65,-26.74,N,No
System42,Planet1,596.83,596.83,0.21,0.56,53.05,Y,No
System42,Planet2,867.51,867.51,0.27,0.66,22.37,Y,No
System42,Planet3,1081.68,1081.68,0.13,0.34,5.31,Y,No
System43,Planet1,187.29,187.29,0.18,0.54,17.45,N,No
System43,Planet2,790.11,790.11,0.2,0.32,87.99,N,No
System43,Planet3,1265.91,1265.91,0.11,0.62,70.46,N,No
System44,Planet1,827.56,827.56,0.25,0.44,88.28,Y,No
System44,Planet2,122.36,122.36,0.21,0.57,60.9,Y,No
System44,Planet3,779.82,779.82,0.28,0.3,99.5,N,No
System45,Planet1,1289.33,1289.33,0.16,0.73,11.72,N,No
System45,Planet2,498.41,498.41,0.15,0.38,94.05,N,No
System45,Planet3,1248.84,1248.84,0.26,0.36,84.2,N,No
System46,Planet1,1038.04,1038.04,0.23,0.41,21.33,Y,No
System46,Planet2,1484.73,1484.73,0.28,0.8,75.89,Y,No
System46,Planet3,1276.21,1276.21,0.19,0.62,55.93,Y,No
System47,Planet1,286.0,286.0,0.26,0.74,-19.77,N,No
System47,Planet2,534.42,534.42,0.15,0.77,77.19,N,No
System47,Planet3,5.69,5.69,0.25,0.71,21.49,Y,No
System48,Planet1,880.82,880.82,0.25,0.39,12.07,N,No
System48,Planet2,931.08,931.08,0.24,0.5,80.85,N,No
System48,Planet3,1488.15,1488.15,0.29,0.48,7.08,N,No
System49,Planet1,1387.79,1387.79,0.1,0.41,95.58,N,No
System49,Planet2,185.07,185.07,0.28,0.55,22.82,Y,No
System49,Planet3,136.21,136.21,0.15,0.38,80.85,Y,No
System50,Planet1,487.09,487.09,0.17,0.68,79.53,Y,No
System50,Planet2,588.53,588.53,0.27,0.71,-3.52,Y,No
System50,Planet3,1492.37,1492.37,0.29,0.72,-2.52,Y,No
System51,Planet1,1048.55,1048.55,0.29,0.76,55.34,N,No
System51,Planet2,318.85,318.85,0.21,0.47,55.17,N,No
System51,Planet3,1084.9,1084.9,0.11,0.78,86.25,Y,No
System52,Planet1,896.27,896.27,0.21,0.55,50.98,Y,No
System52,Planet2,847.64,847.64,0.13,0.76,-13.02,N,No
System52,Planet3,172.71,172.71,0.18,0.49,43.54,Y,No
System53,Planet1,735.51,735.51,0.15,0.73,3.7,N,No
System53,Planet2,475.67,475.67,0.21,0.33,44.08,Y,No
System53,Planet3,623.93,623.93,0.21,0.63,97.95,Y,No
System54,Planet1,1208.24,1208.24,0.21,0.58,94.17,N,No
System54,Planet2,146.35,146.35,0.26,0.36,66.26,N,No
System54,Planet3,967.35,967.35,0.21,0.49,12.31,Y,No
System55,Planet1,963.33,963.33,0.24,0.3,73.28,Y,No
System55,Planet2,876.62,876.62,0.28,0.58,10.17,Y,No
System55,Planet3,1144.71,1144.71,0.28,0.76,-7.84,N,No
System56,Planet1,1277.01,1277.01,0.28,0.53,94.52,N,No
System56,Planet2,734.35,734.35,0.28,0.6,28.17,N,No
System56,Planet3,979.27,979.27,0.18,0.78,74.15,N,No
System57,Planet1,1352.85,1352.85,0.21,0.76,96.39,Y,No
System57,Planet2,1448.69,1448.69,0.25,0.65,31.81,N,No
System57,Planet3,1236.38,1236.38,0.21,0.49,20.51,N,No
System58,Planet1,1254.72,1254.72,0.21,0.74,72.54,Y,No
System58,Planet2,201.43,201.43,0.2,0.32,-15.69,N,No
System58,Planet3,182.55,182.55,0.11,0.76,-2.58,Y,No
System59,Planet1,368.66,368.66,0.17,0.58,83.38,N,No
System59,Planet2,379.74,379.74,0.16,0.46,96.72,Y,No
System59,Planet3,465.8,465.8,0.2,0.33,-5.18,N,No
System60,Planet1,127.05,127.05,0.13,0.36,-20.06,N,No
System60,Planet2,687.35,687.35,0.26,0.78,58.86,N,No
System60,Planet3,515.18,515.18,0.11,0.54,8.99,Y,No
System61,Planet1,691.06,691.06,0.23,0.45,55.02,N,No
System61,Planet2,1250.6,1250.6,0.14,0.55,34.45,N,No
System61,Planet3,313.43,313.43,0.29,0.46,90.45,Y,No
System62,Planet1,50.63,50.63,0.24,0.76,60.02,N,No
System62,Planet2,275.69,275.69,0.18,0.73,30.47,Y,No
System62,Planet3,821.97,821.97,0.12,0.37,29.73,Y,No
System63,Planet1,361.99,361.99,0.17,0.77,-13.09,Y,No
System63,Planet2,854.03,854.03,0.15,0.75,50.8,N,No
System63,Planet3,755.35,755.35,0.11,0.67,54.61,Y,No
System64,Planet1,857.92,857.92,0.25,0.53,14.98,N,No
System64,Planet2,1126.96,1126.96,0.16,0.72,37.0,N,No
System64,Planet3,202.23,202.23,0.24,0.52,95.86,Y,No
System65,Planet1,1099.74,1099.74,0.16,0.68,-4.63,Y,No
System65,Planet2,256.11,256.11,0.24,0.53,92.39,N,No
System65,Planet3,29.5,29.5,0.19,0.58,76.65,Y,No
System66,Planet1,706.37,706.37,0.29,0.79,54.74,Y,No
System66,Planet2,220.69,220.69,0.19,0.73,38.85,N,No
System66,Planet3,958.97,958.97,0.1,0.32,45.75,N,No
System67,Planet1,1053.53,1053.53,0.11,0.58,16.27,N,No
System67,Planet2,76.85,76.85,0.2,0.47,35.74,N,No
System67,Planet3,74.92,74.92,0.26,0.73,59.15,Y,No
System68,Planet1,1494.96,1494.96,0.21,0.75,58.06,Y,No
System68,Planet2,112.82,112.82,0.2,0.64,-18.15,Y,No
System68,Planet3,44.04,44.04,0.24,0.61,-29.96,Y,No
System69,Planet1,750.25,750.25,0.1,0.34,32.72,Y,No
System69,Planet2,333.82,333.82,0.2,0.77,64.14,Y,No
System69,Planet3,150.76,150.76,0.18,0.58,67.13,Y,No
System70,Planet1,152.89,152.89,0.26,0.58,46.16,Y,No
System70,Planet2,1299.94,1299.94,0.24,0.54,88.93,Y,No
System70,Planet3,597.42,597.42,0.12,0.49,73.83,N,No
System71,Planet1,691.62,691.62,0.18,0.54,82.95,Y,No
System71,Planet2,1402.55,1402.55,0.29,0.55,41.89,Y,No
System71,Planet3,921.92,921.92,0.19,0.58,-29.79,N,No
System72,Planet1,522.6,522.6,0.12,0.45,-9.07,N,No
System72,Planet2,1281.95,1281.95,0.14,0.76,-16.64,N,No
System72,Planet3,554.03,554.03,0.22,0.35,52.29,N,No
System73,Planet1,810.48,810.48,0.15,0.66,45.49,Y,No
System73,Planet2,759.5,759.5,0.21,0.79,4.43,Y,No
System73,Planet3,1214.65,1214.65,0.23,0.59,46.4,Y,No
System74,Planet1,1361.25,1361.25,0.17,0.57,52.22,Y,No
System74,Planet2,235.76,235.76,0.14,0.46,23.09,Y,No
System74,Planet3,1327.66,1327.66,0.24,0.45,-21.54,Y,No
System75,Planet1,757.96,757.96,0.22,0.35,-21.06,N,No
System75,Planet2,1273.65,1273.65,0.23,0.3,37.23,N,No
System75,Planet3,590.75,590.75,0.17,0.4,97.29,Y,No
System76,Planet1,1491.19,1491.19,0.2,0.58,97.98,Y,No
System76,Planet2,720.72,720.72,0.24,0.41,45.52,N,No
System76,Planet3,160.88,160.88,0.29,0.41,75.76,N,No
System77,Planet1,820.36,820.36,0.17,0.65,-16.19,N,No
System77,Planet2,1052.71,1052.71,0.17,0.35,54.8,N,No
System77,Planet3,1347.0,1347.0,0.25,0.33,32.92,Y,No
System78,Planet1,680.36,680.36,0.12,0.42,20.62,N,No
System78,Planet2,1001.47,1001.47,0.19,0.55,7.02,Y,No
System78,Planet3,641.24,641.24,0.21,0.52,23.64,Y,No
System79,Planet1,563.09,563.09,0.27,0.59,32.25,N,No
System79,Planet2,1194.21,1194.21,0.14,0.64,54.86,N,No
System79,Planet3,1005.73,1005.73,0.27,0.41,30.42,N,No
System80,Planet1,268.56,268.56,0.21,0.76,97.5,N,No
System80,Planet2,526.59,526.59,0.25,0.33,-29.93,Y,No
System80,Planet3,170.49,170.49,0.3,0.72,72.33,Y,No
System81,Planet1,1240.48,1240.48,0.14,0.8,-20.85,N,No
System81,Planet2,529.47,529.47,0.28,0.61,90.09,N,No
System81,Planet3,844.67,844.67,0.27,0.5,83.18,Y,No
System82,Planet1,1046.08,1046.08,0.2,0.64,33.64,N,No
System82,Planet2,808.83,808.83,0.24,0.71,79.1,Y,No
System82,Planet3,106.72,106.72,0.2,0.31,25.91,N,No
System83,Planet1,120.62,120.62,0.15,0.35,-27.31,Y,No
System83,Planet2,612.84,612.84,0.21,0.36,12.43,N,No
System83,Planet3,74.81,74.81,0.15,0.3,-15.92,N,No
System84,Planet1,348.92,348.92,0.11,0.72,74.17,Y,No
System84,Planet2,1241.31,1241.31,0.2,0.52,65.94,Y,No
System84,Planet3,74.46,74.46,0.15,0.73,16.2,Y,No
System85,Planet1,618.64,618.64,0.21,0.48,12.1,N,No
System85,Planet2,291.76,291.76,0.25,0.7,72.73,Y,No
System85,Planet3,98.69,98.69,0.16,0.52,94.27,N,No
System86,Planet1,853.0,853.0,0.17,0.6,96.73,N,No
System86,Planet2,916.7,916.7,0.15,0.79,32.28,Y,No
System86,Planet3,649.51,649.51,0.22,0.78,-0.15,Y,No
System87,Planet1,733.01,733.01,0.14,0.34,47.94,Y,No
System87,Planet2,205.45,205.45,0.25,0.55,16.73,Y,No
System87,Planet3,658.14,658.14,0.1,0.74,99.14,N,No
System88,Planet1,596.56,596.56,0.15,0.78,-26.91,N,No
System88,Planet2,184.73,184.73,0.22,0.32,66.62,Y,No
System88,Planet3,152.62,152.62,0.22,0.3,67.74,N,No
System89,Planet1,975.46,975.46,0.28,0.74,-16.13,Y,No
System89,Planet2,1244.6,1244.6,0.27,0.46,96.41,N,No
System89,Planet3,1416.9,1416.9,0.21,0.73,49.49,N,No
System90,Planet1,1107.72,1107.72,0.11,0.47,98.03,N,No
System90,Planet2,1229.01,1229.01,0.16,0.51,15.02,Y,No
System90,Planet3,764.51,764.51,0.14,0.69,25.23,N,No
System91,Planet1,1474.49,1474.49,0.26,0.68,74.31,N,No
System91,Planet2,1375.66,1375.66,0.15,0.33,88.54,N,No
System91,Planet3,457.58,457.58,0.3,0.79,-21.45,Y,No
System92,Planet1,956.12,956.12,0.11,0.51,-5.73,Y,No
System92,Planet2,1049.16,1049.16,0.15,0.37,-22.65,Y,No
System92,Planet3,502.23,502.23,0.17,0.4,37.5,N,No
System93,Planet1,1059.87,1059.87,0.29,0.72,-20.11,Y,No
System93,Planet2,1284.3,1284.3,0.3,0.71,77.35,Y,No
System93,Planet3,984.87,984.87,0.28,0.69,-11.97,Y,No
System94,Planet1,245.29,245.29,0.18,0.79,70.28,Y,No
System94,Planet2,924.92,924.92,0.28,0.3,82.12,Y,No
System94,Planet3,99.25,99.25,0.29,0.74,8.54,N,No
System95,Planet1,701.66,701.66,0.2,0.76,57.07,N,No
System95,Planet2,926.77,926.77,0.2,0.46,98.84,Y,No
System95,Planet3,846.07,846.07,0.16,0.38,-12.31,Y,No
System96,Planet1,276.76,276.76,0.13,0.36,-9.66,Y,No
System96,Planet2,391.97,391.97,0.12,0.78,41.04,Y,No
System96,Planet3,256.83,256.83,0.24,0.67,77.75,N,No
System97,Planet1,427.86,427.86,0.11,0.71,-25.39,N,No
System97,Planet2,1463.57,1463.57,0.23,0.52,89.65,N,No
System97,Planet3,119.16,119.16,0.17,0.46,92.79,Y,No
System98,Planet1,1210.1,1210.1,0.17,0.49,21.76,N,No
System98,Planet2,1439.72,1439.72,0.18,0.35,76.34,N,No
System98,Planet3,742.65,742.65,0.26,0.56,94.35,Y,No
System99,Planet1,1108.52,1108.52,0.24,0.71,46.66,Y,No
System99,Planet2,980.07,980.07,0.18,0.35,17.79,Y,No
System99,Planet3,1349.69,1349.69,0.2,0.35,69.7,N,No
System100,Planet1,415.84,415.84,0.1,0.43,-10.23,N,No
System100,Planet2,1125.06,1125.06,0.15,0.39,63.44,N,No
System100,Planet3,420.49,420.49,0.19,0.39,14.82,Y,No
System101,Planet1,1288.19,1288.19,0.27,0.41,17.94,Y,No
System101,Planet2,1431.01,1431.01,0.18,0.75,52.19,Y,No
System101,Planet3,471.73,471.73,0.14,0.54,0.7,N,No
System102,Planet1,1272.2,1272.2,0.14,0.61,15.34,N,No
System102,Planet2,307.57,307.57,0.11,0.61,63.98,Y,No
System102,Planet3,1184.44,1184.44,0.1,0.5,25.72,N,No
System103,Planet1,1291.0,1291.0,0.29,0.68,61.33,Y,No
System103,Planet2,761.99,761.99,0.13,0.47,11.97,Y,No
System103,Planet3,184.25,184.25,0.26,0.31,-21.34,N,No
System104,Planet1,183.86,183.86,0.14,0.37,3.97,N,No
System104,Planet2,1000.89,1000.89,0.29,0.33,97.31,N,No
System104,Planet3,1156.87,1156.87,0.25,0.53,66.63,N,No
System105,Planet1,1190.27,1190.27,0.25,0.68,95.34,N,No
System105,Planet2,737.72,737.72,0.26,0.58,6.86,N,No
System105,Planet3,1204.01,1204.01,0.28,0.63,64.61,Y,No
System106,Planet1,1492.7,1492.7,0.21,0.6,87.34,Y,No
System106,Planet2,744.15,744.15,0.18,0.77,-4.5,Y,No
System106,Planet3,961.91,961.91,0.27,0.33,88.64,Y,No
System107,Planet1,224.91,224.91,0.2,0.61,38.97,Y,No
System107,Planet2,316.15,316.15,0.22,0.48,86.99,Y,No
System107,Planet3,265.51,265.51,0.13,0.39,79.96,Y,No
System108,Planet1,249.84,249.84,0.27,0.51,3.13,N,No
System108,Planet2,539.03,539.03,0.3,0.48,75.35,N,No
System108,Planet3,134.74,134.74,0.24,0.56,6.01,N,No
System109,Planet1,1455.13,1455.13,0.22,0.49,40.78,N,No
System109,Planet2,1006.16,1006.16,0.12,0.54,59.36,Y,No
System109,Planet3,338.39,338.39,0.26,0.35,50.16,N,No
System110,Planet1,1123.31,1123.31,0.1,0.43,-17.31,N,No
System110,Planet2,1308.95,1308.95,0.19,0.35,59.07,Y,No
System110,Planet3,394.9,394.9,0.1,0.8,-14.23,N,No
System111,Planet1,163.43,163.43,0.23,0.64,1.32,Y,No
System111,Planet2,628.6,628.6,0.22,0.5,67.87,Y,No
System111,Planet3,965.89,965.89,0.12,0.44,-18.34,Y,No
System112,Planet1,993.77,993.77,0.14,0.58,6.82,N,No
System112,Planet2,446.06,446.06,0.12,0.32,32.01,Y,No
System112,Planet3,485.38,485.38,0.2,0.63,24.59,Y,No
System113,Planet1,1369.86,1369.86,0.18,0.34,11.0,Y,No
System113,Planet2,1263.22,1263.22,0.2,0.57,68.77,Y,No
System113,Planet3,81.08,81.08,0.12,0.5,51.37,N,No
System114,Planet1,1053.98,1053.98,0.22,0.76,46.06,Y,No
System114,Planet2,205.17,205.17,0.15,0.51,12.83,Y,No
System114,Planet3,128.01,128.01,0.18,0.41,-5.48,N,No
System115,Planet1,1249.44,1249.44,0.18,0.45,72.6,N,No
System115,Planet2,774.68,774.68,0.29,0.51,11.86,N,No
System115,Planet3,564.22,564.22,0.19,0.48,-28.18,Y,No
System116,Planet1,1311.84,1311.84,0.18,0.63,48.04,N,No
System116,Planet2,919.68,919.68,0.19,0.39,32.22,Y,No
System116,Planet3,1425.31,1425.31,0.17,0.48,-21.5,N,No
System117,Planet1,108.72,108.72,0.26,0.52,82.73,Y,No
System117,Planet2,1083.68,1083.68,0.27,0.49,-6.7,Y,No
System117,Planet3,557.87,557.87,0.15,0.31,-3.84,Y,No
System118,Planet1,1081.31,1081.31,0.19,0.74,89.07,N,No
System118,Planet2,509.11,509.11,0.14,0.3,9.07,Y,No
System118,Planet3,977.04,977.04,0.16,0.55,45.41,N,No
System119,Planet1,1483.21,1483.21,0.2,0.72,44.23,N,No
System119,Planet2,1008.56,1008.56,0.15,0.74,-21.92,N,No
System119,Planet3,328.02,328.02,0.24,0.56,99.22,N,No
System120,Planet1,280.97,280.97,0.2,0.58,75.25,N,No
System120,Planet2,175.77,175.77,0.28,0.33,26.97,N,No
System120,Planet3,956.4,956.4,0.23,0.55,80.2,N,No
System121,Planet1,499.78,499.78,0.24,0.66,72.7,Y,No
System121,Planet2,1009.8,1009.8,0.17,0.41,51.48,Y,No
System121,Planet3,271.34,271.34,0.14,0.68,20.46,N,No
System122,Planet1,586.43,586.43,0.29,0.51,72.42,Y,No
System122,Planet2,1284.66,1284.66,0.28,0.57,63.87,Y,No
System122,Planet3,428.01,428.01,0.21,0.35,48.87,Y,No
System123,Planet1,495.12,495.12,0.26,0.61,40.63,N,No
System123,Planet2,1002.99,1002.99,0.14,0.53,-5.57,Y,No
System123,Planet3,945.69,945.69,0.24,0.51,20.32,Y,No
System124,Planet1,1021.83,1021.83,0.15,0.45,91.39,N,No
System124,Planet2,1167.33,1167.33,0.15,0.55,12.3,N,No
System124,Planet3,179.27,179.27,0.25,0.6,78.78,Y,No
System125,Planet1,136.74,136.74,0.18,0.5,93.31,Y,No
System125,Planet2,995.96,995.96,0.27,0.39,-17.17,N,No
System125,Planet3,188.69,188.69,0.17,0.37,61.16,Y,No
System126,Planet1,88.33,88.33,0.1,0.33,1.44,Y,No
System126,Planet2,1253.33,1253.33,0.18,0.39,-12.87,Y,No
System126,Planet3,987.01,987.01,0.29,0.43,8.59,Y,No
System127,Planet1,863.85,863.85,0.15,0.58,68.35,Y,No
System127,Planet2,221.83,221.83,0.27,0.44,2.78,Y,No
System127,Planet3,961.5,961.5,0.21,0.45,33.09,N,No
System128,Planet1,1298.34,1298.34,0.18,0.38,59.65,Y,No
System128,Planet2,562.84,562.84,0.15,0.44,48.6,Y,No
System128,Planet3,638.07,638.07,0.25,0.51,54.63,Y,No
System129,Planet1,201.45,201.45,0.1,0.38,25.23,Y,No
System129,Planet2,752.35,752.35,0.2,0.64,80.33,Y,No
System129,Planet3,460.13,460.13,0.21,0.67,-15.75,N,No
System130,Planet1,113.03,113.03,0.21,0.32,93.64,N,No
System130,Planet2,1263.66,1263.66,0.15,0.73,-27.24,N,No
System130,Planet3,135.42,135.42,0.17,0.52,-2.02,Y,No
System131,Planet1,1056.61,1056.61,0.11,0.47,0.81,N,No
System131,Planet2,1498.11,1498.11,0.3,0.72,-6.13,Y,No
System131,Planet3,599.58,599.58,0.13,0.51,66.49,N,No
System132,Planet1,35.79,35.79,0.12,0.36,-12.05,N,No
System132,Planet2,619.93,619.93,0.29,0.66,7.98,Y,No
System132,Planet3,1406.34,1406.34,0.26,0.8,34.35,N,No
System133,Planet1,1478.45,1478.45,0.24,0.41,7.14,N,No
System133,Planet2,645.57,645.57,0.13,0.63,8.98,Y,No
System133,Planet3,801.95,801.95,0.15,0.4,3.71,N,No
System134,Planet1,716.81,716.81,0.21,0.42,0.97,N,No
System134,Planet2,645.52,645.52,0.2,0.3,91.53,N,No
System134,Planet3,688.38,688.38,0.2,0.73,61.19,Y,No
System135,Planet1,1351.27,1351.27,0.19,0.8,22.63,Y,No
System135,Planet2,1304.52,1304.52,0.15,0.71,30.7,N,No
System135,Planet3,198.6,198.6,0.25,0.71,57.91,N,No
System136,Planet1,1389.77,1389.77,0.18,0.56,78.37,N,No
System136,Planet2,1467.63,1467.63,0.28,0.76,15.75,N,No
System136,Planet3,1288.45,1288.45,0.1,0.44,44.12,N,No
System137,Planet1,583.54,583.54,0.29,0.31,-15.87,Y,No
System137,Planet2,1054.68,1054.68,0.19,0.74,94.7,Y,No
System137,Planet3,731.54,731.54,0.11,0.69,0.46,Y,No
System138,Planet1,7.04,7.04,0.28,0.53,85.82,Y,No
System138,Planet2,1041.08,1041.08,0.25,0.33,0.4,Y,No
